frame_idx,second,lampu,env_mean,panel_mean,panel_max,around_mean,delta,std_panel,panel_valid,panel_occluded,mesin_aktif_panel,roll_occluded,operator_near_roll,movement,movement_ema,status_raw,on_cnt,off_cnt,on_sec_count,status_final,operator_status
2130,71,TERANG,116.91,213.64,250,121.37,92.27,16.96,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
2160,72,TERANG,135.1,214,250,118.85,95.15,16.73,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
2190,73,TERANG,127.89,211.24,251,116.9,94.34,16.89,1,0,1,0,0,0,0.05,IDLE,0,6,0,IDLE,TIDAK ADA
2220,74,TERANG,137.44,211.11,248,116.87,94.24,16.59,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
2250,75,TERANG,143.7,213.46,248,119.01,94.45,17.81,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
2280,76,TERANG,144.22,83.59,97,70.66,12.93,2.98,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2310,77,TERANG,144.05,85.13,110,71.77,13.36,3.48,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2340,78,TERANG,144.68,86.84,116,72.6,14.23,3.7,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2370,79,TERANG,145.86,86.05,109,72.84,13.21,2.86,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2400,80,TERANG,146.86,85.76,115,72.68,13.08,3.87,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2430,81,TERANG,147.94,86.68,112,73.27,13.41,3.67,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2460,82,TERANG,148.1,86.93,113,72.5,14.43,3.26,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2490,83,TERANG,148.65,87.37,116,73.68,13.69,3.09,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2520,84,TERANG,149.26,86.09,129,73.38,12.71,4.33,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2550,85,TERANG,149.28,86.08,129,73.41,12.67,4.32,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2580,86,TERANG,149.31,86.09,129,73.4,12.69,4.29,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2610,87,TERANG,149.27,85.95,129,73.33,12.62,4.25,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2640,88,TERANG,149.29,86,129,73.42,12.59,4.31,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2670,89,TERANG,149.27,85.97,129,73.38,12.59,4.27,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2700,90,TERANG,149.29,86,129,73.33,12.66,4.3,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2730,91,TERANG,149.27,85.94,129,73.35,12.59,4.24,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2760,92,TERANG,149.29,86,129,73.43,12.57,4.29,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2790,93,TERANG,149.3,86,129,73.42,12.58,4.26,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2820,94,TERANG,149.42,86.59,135,73.65,12.95,5.01,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2850,95,TERANG,149.3,86.6,135,73.63,12.97,5.06,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2880,96,TERANG,149.35,86.61,135,73.65,12.96,5.07,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2910,97,TERANG,149.4,86.59,135,73.7,12.89,4.99,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2940,98,TERANG,149.4,86.61,133,73.65,12.97,5,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
2970,99,TERANG,149.4,86.63,133,73.56,13.07,5.01,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3000,100,TERANG,149.28,86.62,133,73.61,13.01,5,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3030,101,TERANG,149.39,86.62,133,73.64,12.98,5,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3060,102,TERANG,149.39,86.63,133,73.66,12.96,4.99,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3090,103,TERANG,149.38,86.61,133,73.62,12.99,4.99,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3120,104,TERANG,149.43,85.63,148,73.12,12.51,5.51,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3150,105,TERANG,149.38,85.63,148,73.11,12.52,5.51,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3180,106,TERANG,149.41,85.64,148,73.12,12.52,5.5,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3210,107,TERANG,149.4,85.77,148,73.16,12.6,5.48,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3240,108,TERANG,149.4,85.65,148,73.16,12.49,5.44,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3270,109,TERANG,149.37,85.61,148,73.08,12.53,5.44,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3300,110,TERANG,149.4,85.63,148,73.12,12.51,5.44,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3330,111,TERANG,149.38,85.55,141,73.2,12.36,5.08,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3360,112,TERANG,149.4,85.64,148,73.12,12.52,5.48,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3390,113,TERANG,149.41,85.58,141,73.1,12.48,5.12,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3420,114,TERANG,149.54,85.92,137,73.21,12.71,4.84,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
