frame_idx,second,lampu,status_final,operator_status,env_mean,panel_mean,panel_max,around_mean,delta,std_panel,panel_valid,panel_occluded,mesin_aktif_panel,roll_occluded,operator_near_roll,movement,movement_ema,status_raw,on_cnt,off_cnt,on_sec_count
3660,122,GELAP,OFF,TIDAK ADA,61.18,62.4,165,70.72,-8.33,27.05,0,0,0,0,0,0,0,OFF,0,0,0
3690,123,GELAP,OFF,TIDAK ADA,61.18,62.31,168,70.63,-8.32,27.04,0,0,0,0,0,0,0,OFF,0,0,0
3720,124,GELAP,OFF,TIDAK ADA,61.18,62.5,165,70.81,-8.31,26.89,0,0,0,0,0,0,0,OFF,0,0,0
3750,125,GELAP,OFF,TIDAK ADA,61.18,62.6,168,70.74,-8.14,26.95,0,0,0,0,0,0,0,OFF,0,0,0
3780,126,GELAP,OFF,TIDAK ADA,61.18,62.55,165,70.74,-8.2,26.9,0,0,0,0,0,0,0,OFF,0,0,0
3810,127,GELAP,OFF,TIDAK ADA,61.18,62.6,168,70.78,-8.18,26.75,0,0,0,0,0,0,0,OFF,0,0,0
3840,128,GELAP,OFF,TIDAK ADA,61.15,62.58,190,70.61,-8.03,27.06,0,0,0,0,0,0,0,OFF,0,0,0
3870,129,GELAP,OFF,TIDAK ADA,61.15,62.63,190,70.71,-8.07,27.01,0,0,0,0,0,0,0,OFF,0,0,0
3900,130,GELAP,OFF,TIDAK ADA,61.15,62.84,190,70.71,-7.87,26.95,0,0,0,0,0,0,0,OFF,0,0,0
3930,131,GELAP,OFF,TIDAK ADA,61.15,62.41,190,70.71,-8.29,27.15,0,0,0,0,0,0,0,OFF,0,0,0
3960,132,GELAP,OFF,TIDAK ADA,61.15,62.62,190,70.73,-8.11,27.04,0,0,0,0,0,0,0,OFF,0,0,0
3990,133,GELAP,OFF,TIDAK ADA,61.15,62.82,190,70.97,-8.14,27.19,0,0,0,0,0,0,0,OFF,0,0,0
4020,134,GELAP,OFF,TIDAK ADA,61.15,62.57,190,70.89,-8.32,26.97,0,0,0,0,0,0,0,OFF,0,0,0
4050,135,GELAP,OFF,TIDAK ADA,61.15,62.82,190,70.74,-7.92,27.17,0,0,0,0,0,0,0,OFF,0,0,0
4080,136,GELAP,OFF,TIDAK ADA,61.2,63.04,187,70.71,-7.67,27.68,0,0,0,0,0,0,0,OFF,0,0,0
4110,137,GELAP,OFF,TIDAK ADA,61.13,62.77,172,70.72,-7.95,27.05,0,0,0,0,0,0,0,OFF,0,0,0
4140,138,GELAP,OFF,TIDAK ADA,60.98,62.8,175,70.33,-7.52,27.88,0,0,0,0,0,0,0,OFF,0,0,0
4170,139,GELAP,OFF,TIDAK ADA,60.98,62.77,165,70.38,-7.6,27.78,0,0,0,0,0,0,0,OFF,0,0,0
4200,140,GELAP,OFF,TIDAK ADA,61.03,62.88,168,70.39,-7.51,27.93,0,0,0,0,0,0,0,OFF,0,0,0
4230,141,GELAP,OFF,TIDAK ADA,60.98,62.8,164,70.42,-7.62,27.92,0,0,0,0,0,0,0,OFF,0,0,0
4260,142,GELAP,OFF,TIDAK ADA,60.98,62.68,163,70.33,-7.65,27.86,0,0,0,0,0,0,0,OFF,0,0,0
4290,143,GELAP,OFF,TIDAK ADA,60.98,62.81,163,70.5,-7.69,27.99,0,0,0,0,0,0,0,OFF,0,0,0
4320,144,GELAP,OFF,TIDAK ADA,60.98,62.66,163,70.26,-7.6,27.78,0,0,0,0,0,0,0,OFF,0,0,0
4350,145,GELAP,OFF,TIDAK ADA,61.04,62.66,174,70.35,-7.69,27.84,0,0,0,0,0,0,0,OFF,0,0,0
4380,146,GELAP,OFF,TIDAK ADA,61.06,63.1,164,70.39,-7.28,27.68,0,0,0,0,0,0,0,OFF,0,0,0
4410,147,GELAP,OFF,TIDAK ADA,60.98,62.72,164,70.5,-7.78,27.76,0,0,0,0,0,0,0,OFF,0,0,0
4440,148,GELAP,OFF,TIDAK ADA,61.29,62.5,163,70.7,-8.2,27.18,0,0,0,0,0,0,0,OFF,0,0,0
4470,149,GELAP,OFF,TIDAK ADA,61.3,62.48,154,70.74,-8.26,27.11,0,0,0,0,0,0,0,OFF,0,0,0
4500,150,GELAP,OFF,TIDAK ADA,61.3,62.91,161,71.04,-8.13,27.14,0,0,0,0,0,0,0,OFF,0,0,0
4530,151,GELAP,OFF,TIDAK ADA,61.3,62.76,161,70.87,-8.11,27.15,0,0,0,0,0,0,0,OFF,0,0,0
4560,152,GELAP,OFF,TIDAK ADA,61.3,62.92,161,70.99,-8.08,27.14,0,0,0,0,0,0,0,OFF,0,0,0
4590,153,GELAP,OFF,TIDAK ADA,61.3,63.02,161,70.99,-7.97,27.05,0,0,0,0,0,0,0,OFF,0,0,0
4620,154,GELAP,OFF,TIDAK ADA,61.32,62.93,163,70.93,-8,26.88,0,0,0,0,0,0,0,OFF,0,0,0
4650,155,GELAP,OFF,TIDAK ADA,61.24,62.56,159,70.95,-8.39,27,0,0,0,0,0,0,0,OFF,0,0,0
4680,156,GELAP,OFF,TIDAK ADA,61.3,62.75,163,71.01,-8.25,26.98,0,0,0,0,0,0,0,OFF,0,0,0
4710,157,GELAP,OFF,TIDAK ADA,61.3,62.59,163,70.77,-8.18,26.95,0,0,0,0,0,0,0,OFF,0,0,0
4740,158,GELAP,OFF,TIDAK ADA,61.18,62.2,154,70.39,-8.2,26.67,0,0,0,0,0,0,0,OFF,0,0,0
4770,159,GELAP,OFF,TIDAK ADA,61.18,62.16,154,70.35,-8.2,26.64,0,0,0,0,0,0,0,OFF,0,0,0
4800,160,GELAP,OFF,TIDAK ADA,61.18,62.33,163,70.3,-7.96,27.03,0,0,0,0,0,0,0,OFF,0,0,0
4830,161,GELAP,OFF,TIDAK ADA,61.18,62.54,157,70.48,-7.95,26.69,0,0,0,0,0,0,0,OFF,0,0,0
4860,162,GELAP,OFF,TIDAK ADA,61.18,62.19,154,70.5,-8.32,26.64,0,0,0,0,0,0,0,OFF,0,0,0
4890,163,GELAP,OFF,TIDAK ADA,61.18,62.41,178,70.41,-8.01,27.97,0,0,0,0,0,0,0,OFF,0,0,0
4920,164,GELAP,OFF,TIDAK ADA,61.17,62.21,154,70.39,-8.17,26.76,0,0,0,0,0,0,0,OFF,0,0,0
4950,165,GELAP,OFF,TIDAK ADA,61.18,62.76,171,70.58,-7.82,27.51,0,0,0,0,0,0,0,OFF,0,0,0
4980,166,GELAP,OFF,TIDAK ADA,61.18,62.39,163,70.27,-7.88,27.07,0,0,0,0,0,0,0,OFF,0,0,0
5010,167,GELAP,OFF,TIDAK ADA,61.18,62.5,163,70.7,-8.2,26.77,0,0,0,0,0,0,0,OFF,0,0,0
5040,168,GELAP,OFF,TIDAK ADA,61.24,62.33,190,70.58,-8.26,28.15,0,0,0,0,0,0,0,OFF,0,0,0
5070,169,GELAP,OFF,TIDAK ADA,61.27,62.24,189,70.52,-8.28,28.03,0,0,0,0,0,0,0,OFF,0,0,0
5100,170,GELAP,OFF,TIDAK ADA,61.28,62.24,189,70.54,-8.3,28.03,0,0,0,0,0,0,0,OFF,0,0,0
5130,171,GELAP,OFF,TIDAK ADA,61.24,62.22,189,70.71,-8.49,28.07,0,0,0,0,0,0,0,OFF,0,0,0
5160,172,GELAP,OFF,TIDAK ADA,61.32,62.45,178,70.69,-8.24,27.99,0,0,0,0,0,0,0,OFF,0,0,0
5190,173,GELAP,OFF,TIDAK ADA,61.25,62.49,175,70.56,-8.07,27.75,0,0,0,0,0,0,0,OFF,0,0,0
5220,174,GELAP,OFF,TIDAK ADA,61.24,62.76,179,70.68,-7.92,27.81,0,0,0,0,0,0,0,OFF,0,0,0
5250,175,GELAP,OFF,TIDAK ADA,61.27,62.62,183,70.65,-8.03,28.12,0,0,0,0,0,0,0,OFF,0,0,0
5280,176,GELAP,OFF,TIDAK ADA,61.24,62.81,190,70.59,-7.79,28.25,0,0,0,0,0,0,0,OFF,0,0,0
5310,177,GELAP,OFF,TIDAK ADA,61.24,62.65,179,70.59,-7.94,27.72,0,0,0,0,0,0,0,OFF,0,0,0
5340,178,GELAP,OFF,TIDAK ADA,61.14,62.71,180,70.41,-7.7,27.47,0,0,0,0,0,0,0,OFF,0,0,0
5370,179,GELAP,OFF,TIDAK ADA,61.42,62.71,170,70.27,-7.57,27.29,0,0,0,0,0,0,0,OFF,0,0,0
5400,180,GELAP,OFF,TIDAK ADA,61.23,63.01,168,70.65,-7.65,27.28,0,0,0,0,0,0,0,OFF,0,0,0
5430,181,GELAP,OFF,TIDAK ADA,61.14,62.91,173,70.52,-7.61,27.29,0,0,0,0,0,0,0,OFF,0,0,0
